"contig_ID","av"
"Contig4777_36439",42.646
"Contig4777_36482",42.646
"Contig4777_36609",42.646
"Contig4777_36613",42.646
"Contig4777_36631",42.646
"Contig4777_36642",42.646
"Contig4777_36651",42.646
"Contig4777_36690",42.646
"Contig4777_36704",42.646
"Contig4777_36721",42.646
"Contig4777_36729",42.646
"Contig4777_36734",42.646
"Contig4777_36740",42.646
"Contig4777_36761",42.646
"Contig4777_36769",42.646
"Contig4777_36781",42.646
"Contig4777_36786",42.646
"Contig4777_37034",42.646
"Contig4777_37048",42.646
"Contig4777_37079",42.646
"Contig4777_37154",42.646
"Contig4777_37172",42.646
"Contig4777_37190",42.646
"Contig4777_37224",42.646
"Contig4777_37278",42.646
"Contig4777_37312",42.646
"Contig4777_37367",42.646
"Contig4777_37408",42.646
"Contig4777_37410",42.646
"Contig4777_37416",42.646
"Contig4777_37467",42.646
"Contig4777_37473",42.646
"Contig4777_37498",42.646
"Contig4777_37521",42.646
"Contig4777_37530",42.646
"Contig4777_37537",42.646
"Contig4777_37551",42.646
"Contig4777_37566",42.646
"Contig4777_37571",42.646
"Contig4777_37604",42.646
"Contig4777_51872",42.646
"Contig4777_51905",42.646
"Contig4777_52127",42.646
"Contig4777_52133",42.646
"Contig4777_55868",42.646
"Contig4777_55984",42.646
"Contig4777_65789",42.646
"Contig4777_65796",42.646
"Contig4777_65803",42.646
"Contig4777_65811",42.646
"Contig4777_65814",42.646
"Contig4777_65815",42.646
"Contig4777_65816",42.646
"Contig4777_65821",42.646
"Contig4777_65823",42.646
"Contig4777_65833",42.646
"Contig4777_65836",42.646
"Contig4777_65862",42.646
"Contig4777_65876",42.646
"Contig4777_65932",42.646
"Contig4777_65933",42.646
"Contig4777_65976",42.646
"Contig4777_66011",42.646
"Contig4777_66029",42.646
"Contig4777_66114",42.646
"Contig4777_66130",42.646
"Contig4777_66132",42.646
"Contig4777_66249",42.646
"Contig4777_66260",42.646
"Contig4777_66264",42.646
"Contig4777_66271",42.646
"Contig39952_9188",19.008
"Contig39952_9198",19.008
"Contig39952_9200",19.008
"Contig39952_9203",19.008
"Contig39952_9215",19.008
"Contig39952_9245",19.008
"Contig39952_9267",19.008
"Contig39952_9268",19.008
"Contig39952_9270",19.008
"Contig39952_9299",19.008
"Contig39952_9305",19.008
"Contig39952_9306",19.008
"Contig39952_9316",19.008
"Contig39952_9335",19.008
"Contig39952_9337",19.008
"Contig39952_9373",19.008
"Contig39952_9400",19.008
"Contig39952_9416",19.008
"Contig39952_9451",19.008
"Contig39952_9520",19.008
"Contig39952_9522",19.008
"Contig39952_9541",19.008
"Contig39952_9542",19.008
"Contig39952_9551",19.008
"Contig39952_9557",19.008
"Contig39952_9573",19.008
"Contig39952_9579",19.008
"Contig39952_9707",19.008
"Contig39952_9727",19.008
"Contig39952_9731",19.008
"Contig39952_9746",19.008
"Contig39952_9756",19.008
"Contig39952_9763",19.008
"Contig39952_9765",19.008
"Contig39952_9800",19.008
"Contig39952_9878",19.008
"Contig39952_9979",19.008
"Contig39952_10030",19.008
"Contig39952_10135",19.008
"Contig39952_10156",19.008
"Contig39952_10267",19.008
"Contig39952_11204",19.008
"Contig39952_11248",19.008
"Contig39952_11650",19.008
"Contig39952_11658",19.008
"Contig39952_11742",19.008
"Contig39952_11749",19.008
"Contig39952_11763",19.008
"Contig39952_11766",19.008
"Contig39952_11785",19.008
"Contig39952_11789",19.008
"Contig39952_11861",19.008
"Contig39952_11885",19.008
"Contig39952_11968",19.008
"Contig39952_12041",19.008
"Contig39952_12162",19.008
"Contig39952_12163",19.008
"Contig39952_12215",19.008
"Contig39952_12336",19.008
"Contig39952_12347",19.008
"Contig39952_12883",19.008
"Contig39952_12971",19.008
"Contig39952_12992",19.008
"Contig39952_13003",19.008
"Contig39952_13020",19.008
"Contig39952_13028",19.008
"Contig39952_13061",19.008
"Contig39952_13133",19.008
"Contig39952_13141",19.008
"Contig39952_15594",19.008
"Contig39952_15619",19.008
"Contig39952_15621",19.008
"Contig39952_15651",19.008
"Contig39952_35267",19.008
"Contig39952_35297",19.008
"Contig39952_35298",19.008
"Contig39952_35354",19.008
"Contig39952_35355",19.008
"Contig39952_35441",19.008
"Contig39952_70428",19.008
"Contig39952_70566",19.008
"Contig39952_70578",19.008
"Contig39952_70586",19.008
"Contig39952_70593",19.008
"Contig39952_70608",19.008
"Contig39952_105155",19.008
"Contig39952_105181",19.008
"Contig39952_105189",19.008
"Contig39952_105195",19.008
"Contig39952_105197",19.008
"Contig39952_105205",19.008
"Contig39952_105219",19.008
"Contig39952_105226",19.008
"Contig39952_105244",19.008
"Contig39952_105303",19.008
"Contig39952_105312",19.008
"Contig39952_105314",19.008
"Contig39952_105316",19.008
"Contig39952_106590",19.008
"Contig39952_106591",19.008
"Contig39952_106605",19.008
"Contig39952_106613",19.008
"Contig39952_106614",19.008
"Contig39952_106639",19.008
"Contig39952_106655",19.008
"Contig39952_106708",19.008
"Contig39952_106715",19.008
"Contig39952_106769",19.008
"Contig39952_106785",19.008
"Contig39952_106795",19.008
"Contig39952_106816",19.008
"Contig39952_106839",19.008
"Contig39952_106861",19.008
"Contig39952_106884",19.008
"Contig39952_106885",19.008
"Contig39952_106891",19.008
"Contig39952_106910",19.008
"Contig39952_106934",19.008
"Contig39952_106941",19.008
"Contig39952_106942",19.008
"Contig39952_106955",19.008
"Contig39952_106965",19.008
"Contig39952_106971",19.008
"Contig39952_106998",19.008
"Contig39952_106999",19.008
"Contig39952_107004",19.008
"Contig39952_107018",19.008
"Contig39952_107034",19.008
"Contig39952_107092",19.008
"Contig39952_107098",19.008
"Contig39952_107213",19.008
"Contig39952_107237",19.008
"Contig39952_107303",19.008
