#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam83_1 informativeMask=2 randSeed=-2348534245329721127
#*** LG = 1 likelihood = -665.014
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig7096	133	0.000	0.000	( 0 )
Contig42435	42275	0.000	23.268	( 0 )
Contig180066	6732	0.000	28.150	( 0 )
Contig39952	106998	0.000	28.150	( 0 )
Contig11035	40967	0.000	28.150	( 0 )
Contig48335	89990	0.000	28.150	( 0 )
Contig48335	90170	0.000	28.150	( 0 )
Contig43885	41020	0.000	28.150	( 0 )
Contig48335	90038	0.000	28.150	( 0 )
Contig2900	5492	0.000	28.150	( 0 )
Contig727	12134	0.000	28.150	( 0 )
Contig39952	9800	0.000	28.150	( 0 )
Contig145795	14277	0.000	28.150	( 0 )
Contig48335	90200	0.000	28.150	( 0 )
Contig39952	10363	0.000	28.150	( 0 )
Contig50304	46712	0.000	28.150	( 0 )
Contig44682	69827	0.000	28.150	( 0 )
Contig708	102250	0.000	28.150	( 0 )
Contig100169	2493	0.000	28.150	( 0 )
Contig47106	169483	0.000	28.150	( 0 )
Contig40643	10288	0.000	28.150	( 0 )
Contig46464	36168	0.000	28.150	( 0 )
Contig39952	11640	0.000	28.150	( 0 )
Contig48335	90157	0.000	28.150	( 0 )
Contig43885	41014	0.000	28.150	( 0 )
Contig2900	4769	0.000	28.150	( 0 )
Contig42548	42159	0.000	28.150	( 0 )
Contig163991	1815	0.000	28.150	( 0 )
Contig145795	14124	0.000	28.150	( 0 )
Contig39952	107213	0.000	28.150	( 0 )
Contig39326	22495	0.000	28.150	( 0 )
Contig11035	40990	0.000	28.150	( 0 )
Contig40305	180860	0.000	28.150	( 0 )
Contig727	12028	0.000	28.150	( 0 )
Contig39952	11885	0.000	28.150	( 0 )
Contig50304	46436	0.000	28.150	( 0 )
Contig50304	46530	0.000	28.150	( 0 )
Contig38683	43158	0.000	28.150	( 0 )
Contig2900	5388	0.000	28.150	( 0 )
Contig39952	107415	0.000	28.150	( 0 )
Contig44682	69519	0.000	28.150	( 0 )
Contig39326	22594	0.000	28.150	( 0 )
Contig43885	40760	0.000	28.150	( 0 )
Contig43885	40977	0.000	28.150	( 0 )
Contig6548	71635	0.000	28.150	( 0 )
Contig73485	24098	0.000	28.150	( 0 )
Contig2900	5389	0.000	28.150	( 0 )
Contig39952	106451	0.000	28.150	( 0 )
Contig50304	46447	0.000	28.150	( 0 )
Contig39952	106655	0.000	28.150	( 0 )
Contig59096	9821	0.000	28.150	( 0 )
Contig38683	69770	0.000	28.150	( 0 )
Contig43885	40932	0.000	28.150	( 0 )
Contig39952	106605	0.000	28.150	( 0 )
Contig48335	89989	0.000	28.150	( 0 )
Contig48118	5314	0.000	28.150	( 0 )
Contig110558	18700	0.000	28.150	( 0 )
Contig39952	106785	0.000	28.150	( 0 )
Contig39952	107365	0.000	28.150	( 0 )
Contig39952	106769	0.000	28.150	( 0 )
Contig2900	5479	0.000	28.150	( 0 )
Contig73388	7237	0.000	28.150	( 0 )
Contig39952	107573	0.000	28.150	( 0 )
Contig40643	9878	0.000	28.150	( 0 )
Contig65781	1140	0.000	28.150	( 0 )
Contig2299	1389	0.000	28.150	( 0 )
Contig2900	4349	0.000	28.150	( 0 )
Contig2900	4659	0.000	28.150	( 0 )
Contig708	102184	0.000	28.150	( 0 )
Contig38683	69847	0.000	28.150	( 0 )
Contig49234	8020	0.000	28.150	( 0 )
Contig2900	4235	0.000	28.150	( 0 )
Contig44682	69552	0.000	28.150	( 0 )
Contig39952	106999	0.000	28.150	( 0 )
Contig48335	90023	0.000	28.150	( 0 )
Contig64501	48854	0.000	28.150	( 0 )
Contig2900	4749	0.000	28.150	( 0 )
Contig64854	4963	0.000	28.150	( 0 )
Contig39952	9579	0.000	28.150	( 0 )
Contig42285	29124	0.000	28.150	( 0 )
Contig18559	3822	0.000	28.150	( 0 )
Contig11349	29572	0.000	28.150	( 0 )
Contig50304	46455	0.000	28.150	( 0 )
Contig38683	70039	0.000	28.150	( 0 )
Contig43885	40930	0.000	28.150	( 0 )
Contig57232	8141	0.000	28.150	( 0 )
Contig7214	20895	0.000	28.150	( 0 )
Contig110558	11987	0.000	28.150	( 0 )
Contig708	102107	0.000	28.150	( 0 )
Contig44682	69546	0.000	28.150	( 0 )
Contig180066	6676	0.000	28.150	( 0 )
Contig38275	18166	0.000	28.150	( 0 )
Contig39952	107936	0.000	28.150	( 0 )
Contig2900	5670	0.000	28.150	( 0 )
Contig39952	70566	0.000	28.150	( 0 )
Contig2299	1396	0.000	28.150	( 0 )
Contig42285	29260	0.000	28.150	( 0 )
Contig110558	11949	0.000	28.150	( 0 )
Contig40643	10698	0.000	28.150	( 0 )
Contig48118	5739	0.000	28.150	( 0 )
Contig575	40998	0.000	28.150	( 0 )
Contig38275	18141	0.000	28.150	( 0 )
Contig39952	106795	0.000	28.150	( 0 )
Contig64854	4922	0.000	28.150	( 0 )
Contig39405	83651	0.000	28.150	( 0 )
Contig40643	80341	0.000	28.150	( 0 )
Contig47300	40159	0.000	28.150	( 0 )
Contig47300	40312	0.000	28.150	( 0 )
Contig38683	43073	0.000	28.150	( 0 )
Contig43885	40931	0.000	28.150	( 0 )
Contig38683	69957	0.000	28.150	( 0 )
Contig1239	55919	0.000	28.150	( 0 )
Contig708	102087	0.000	28.150	( 0 )
Contig5509	35804	0.000	28.150	( 0 )
Contig39405	83643	0.000	28.150	( 0 )
Contig47300	40274	0.000	28.150	( 0 )
Contig80054	54458	0.000	28.150	( 0 )
Contig42285	35190	0.000	28.150	( 0 )
Contig47106	169611	0.000	28.150	( 0 )
Contig11035	41029	0.000	28.150	( 0 )
Contig39952	107092	0.000	28.150	( 0 )
Contig42548	6515	0.000	28.150	( 0 )
Contig39952	107098	0.000	28.150	( 0 )
Contig575	41104	0.000	28.150	( 0 )
Contig40643	10249	0.000	28.150	( 0 )
Contig39952	106591	0.000	28.150	( 0 )
Contig727	12136	0.000	28.150	( 0 )
Contig43885	41045	0.000	28.150	( 0 )
Contig1084	24679	0.000	28.150	( 0 )
Contig6548	71371	0.000	28.150	( 0 )
Contig42285	35423	0.000	28.150	( 0 )
Contig39952	106885	0.000	28.150	( 0 )
Contig40305	180997	0.000	28.150	( 0 )
