#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam83_1 informativeMask=1 randSeed=-7409505745118864838
#*** LG = 1 likelihood = -627.7295
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig50217	13144	0.000	0.000	( 0 )
Contig130	25264	2.381	0.000	( 0 )
Contig2620	39394	2.381	0.000	( 0 )
Contig48803	7274	2.381	0.000	( 0 )
Contig130	25262	2.381	0.000	( 0 )
Contig1186	46247	2.381	0.000	( 0 )
Contig48803	7136	2.381	0.000	( 0 )
Contig73388	7318	2.381	0.000	( 0 )
Contig65875	51414	2.381	0.000	( 0 )
Contig1079	35106	2.381	0.000	( 0 )
Contig39132	165271	2.381	0.000	( 0 )
Contig63837	38676	2.381	0.000	( 0 )
Contig6897	6588	2.381	0.000	( 0 )
Contig130	16767	2.381	0.000	( 0 )
Contig2969	107783	2.381	0.000	( 0 )
Contig56970	51526	2.381	0.000	( 0 )
Contig60345	45269	2.381	0.000	( 0 )
Contig57351	20017	2.381	0.000	( 0 )
Contig39132	72059	2.381	0.000	( 0 )
Contig38297	25502	2.381	0.000	( 0 )
Contig45347	7675	2.381	0.000	( 0 )
Contig43298	13878	2.381	0.000	( 0 )
Contig7013	735	2.381	0.000	( 0 )
Contig48803	129424	2.381	0.000	( 0 )
Contig39476	6909	2.381	0.000	( 0 )
Contig6897	6606	2.381	0.000	( 0 )
Contig1186	46267	2.381	0.000	( 0 )
Contig41579	49007	2.381	0.000	( 0 )
Contig74139	20901	2.381	0.000	( 0 )
Contig7013	546	2.381	0.000	( 0 )
Contig126660	7705	2.381	0.000	( 0 )
Contig4847	102073	2.381	0.000	( 0 )
Contig41383	19336	2.381	0.000	( 0 )
Contig39476	7044	2.381	0.000	( 0 )
Contig1948	10807	2.381	0.000	( 0 )
Contig41949	8906	2.381	0.000	( 0 )
Contig7013	578	2.381	0.000	( 0 )
Contig45347	7652	2.381	0.000	( 0 )
Contig41623	89186	2.381	0.000	( 0 )
Contig39132	61455	2.381	0.000	( 0 )
Contig60235	7801	2.381	0.000	( 0 )
Contig55699	19703	2.381	0.000	( 0 )
Contig65875	51636	2.381	0.000	( 0 )
Contig44209	65053	2.381	0.000	( 0 )
Contig59881	7703	2.381	0.000	( 0 )
Contig100589	4911	2.381	0.000	( 0 )
Contig41383	19476	2.381	0.000	( 0 )
Contig47563	3835	2.381	0.000	( 0 )
Contig70941	2411	2.381	0.000	( 0 )
Contig100589	4915	2.381	0.000	( 0 )
Contig49629	13117	2.381	0.000	( 0 )
Contig200935	152	2.381	0.000	( 0 )
Contig59460	3666	2.381	0.000	( 0 )
Contig56096	33692	2.381	0.000	( 0 )
Contig52327	138972	2.381	0.000	( 0 )
Contig6897	6575	2.381	0.000	( 0 )
Contig39476	6848	2.381	0.000	( 0 )
Contig39132	61488	2.381	0.000	( 0 )
Contig63849	28379	2.381	0.000	( 0 )
Contig80298	55340	2.381	0.000	( 0 )
Contig14973	7544	2.381	0.000	( 0 )
Contig44209	65101	2.381	0.000	( 0 )
Contig39132	165355	2.381	0.000	( 0 )
Contig51549	54415	2.381	0.000	( 0 )
Contig45347	7615	2.381	0.000	( 0 )
Contig52327	138810	2.381	0.000	( 0 )
Contig56970	51609	2.381	0.000	( 0 )
Contig58471	21063	2.381	0.000	( 0 )
Contig38297	25496	2.381	0.000	( 0 )
Contig56970	56841	2.381	0.000	( 0 )
Contig43301	15330	2.381	0.000	( 0 )
Contig52698	84385	2.381	0.000	( 0 )
Contig86618	2499	2.381	0.000	( 0 )
Contig1186	46179	2.381	0.000	( 0 )
Contig39132	72113	2.381	0.000	( 0 )
Contig63849	28452	2.381	0.000	( 0 )
Contig41025	57530	2.381	0.000	( 0 )
Contig41579	49192	2.381	0.000	( 0 )
Contig1948	10691	2.381	0.000	( 0 )
Contig1975	44030	2.381	0.000	( 0 )
Contig38297	25901	2.381	0.000	( 0 )
Contig38836	39348	2.381	0.000	( 0 )
Contig47563	3805	2.381	0.000	( 0 )
Contig101497	8480	2.381	0.000	( 0 )
Contig65875	51577	2.381	0.000	( 0 )
Contig41383	34975	2.381	0.000	( 0 )
Contig52327	138966	2.381	0.000	( 0 )
Contig52698	84316	2.381	0.000	( 0 )
Contig43955	53055	2.381	0.000	( 0 )
Contig4847	102041	2.381	0.000	( 0 )
Contig4501	2639	2.381	0.000	( 0 )
Contig73388	6826	2.381	0.000	( 0 )
Contig4847	102120	2.381	0.000	( 0 )
Contig39282	6718	2.381	0.000	( 0 )
Contig41949	8977	2.381	0.000	( 0 )
Contig7013	609	2.381	0.000	( 0 )
Contig579	9220	2.381	0.000	( 0 )
Contig16127	17610	2.381	0.000	( 0 )
Contig74139	20857	2.381	0.000	( 0 )
Contig44525	15143	2.381	0.000	( 0 )
Contig2969	93983	2.381	0.000	( 0 )
Contig6897	6663	2.381	0.000	( 0 )
Contig41383	19420	2.381	0.000	( 0 )
Contig38297	25758	2.381	0.000	( 0 )
Contig7013	526	2.381	0.000	( 0 )
Contig44525	7623	2.381	0.000	( 0 )
Contig39282	6696	2.381	0.000	( 0 )
Contig80298	55391	2.381	0.000	( 0 )
Contig38836	39185	2.381	0.000	( 0 )
Contig60235	7731	2.381	0.000	( 0 )
Contig100589	4955	2.381	0.000	( 0 )
Contig53942	29363	2.381	0.000	( 0 )
Contig63826	20567	2.381	0.000	( 0 )
Contig52327	138828	2.381	0.000	( 0 )
Contig66299	15849	2.381	0.000	( 0 )
Contig41025	57538	2.381	0.000	( 0 )
Contig52698	84392	2.381	0.000	( 0 )
Contig39282	6800	2.381	0.000	( 0 )
Contig44525	7678	2.381	0.000	( 0 )
Contig1722	10575	2.381	0.000	( 0 )
Contig48803	129649	2.381	0.000	( 0 )
Contig2620	25067	2.381	0.000	( 0 )
Contig14973	7597	2.381	0.000	( 0 )
Contig11174	59847	2.381	0.000	( 0 )
Contig65875	51566	2.381	0.000	( 0 )
Contig65875	51477	2.381	0.000	( 0 )
Contig56970	56806	2.381	0.000	( 0 )
Contig4847	102126	2.381	0.000	( 0 )
Contig4847	95147	2.381	0.000	( 0 )
Contig55699	19570	2.381	0.000	( 0 )
Contig71409	28492	2.381	0.000	( 0 )
Contig71409	28555	2.381	0.000	( 0 )
Contig1975	44049	2.381	0.000	( 0 )
Contig6897	6507	2.381	0.000	( 0 )
Contig50464	40363	2.381	0.000	( 0 )
Contig41623	89365	2.381	0.000	( 0 )
Contig66299	15812	2.381	0.000	( 0 )
Contig240640	12216	2.381	0.000	( 0 )
Contig71409	28724	2.381	0.000	( 0 )
Contig52698	84418	2.381	0.000	( 0 )
Contig6897	6596	2.381	0.000	( 0 )
Contig53942	29181	2.381	0.000	( 0 )
Contig45347	7684	2.381	0.000	( 0 )
Contig1186	46242	2.381	0.000	( 0 )
Contig56970	57017	2.381	0.000	( 0 )
Contig39282	6760	2.381	0.000	( 0 )
Contig74139	20817	2.381	0.000	( 0 )
Contig61951	95274	2.381	0.000	( 0 )
Contig7013	598	2.381	0.000	( 0 )
Contig65875	51686	2.381	0.000	( 0 )
Contig56970	56976	2.381	0.000	( 0 )
Contig55699	19694	2.381	0.000	( 0 )
Contig100589	4934	2.381	0.000	( 0 )
Contig64023	10145	2.381	0.000	( 0 )
Contig57599	45677	2.381	0.000	( 0 )
Contig45347	7710	2.381	0.000	( 0 )
Contig84357	38669	2.381	0.000	( 0 )
Contig71852	2481	2.381	0.000	( 0 )
Contig50238	6927	2.381	0.000	( 0 )
Contig39478	7858	2.381	0.000	( 0 )
Contig57351	20195	2.381	0.000	( 0 )
Contig39657	17549	2.381	0.000	( 0 )
Contig65875	51578	2.381	0.000	( 0 )
Contig9017	21594	2.381	0.000	( 0 )
Contig43955	53045	2.381	0.000	( 0 )
Contig39132	61466	2.381	0.000	( 0 )
Contig77521	71291	2.381	0.000	( 0 )
Contig200935	162	2.381	0.000	( 0 )
Contig1186	46272	2.381	0.000	( 0 )
Contig38297	25619	2.381	0.000	( 0 )
Contig2620	39357	2.381	0.000	( 0 )
Contig87026	29950	2.381	0.000	( 0 )
Contig56970	56661	2.381	0.000	( 0 )
Contig61295	10053	2.381	0.000	( 0 )
Contig61295	10211	2.381	0.000	( 0 )
Contig73966	71300	2.381	0.000	( 0 )
Contig39657	17512	2.381	0.000	( 0 )
Contig59128	59990	2.381	0.000	( 0 )
Contig45347	7611	2.381	0.000	( 0 )
Contig60345	45313	2.381	0.000	( 0 )
Contig50217	13077	2.381	0.000	( 0 )
Contig11174	59912	2.381	0.000	( 0 )
Contig84369	28428	2.381	0.000	( 0 )
Contig50369	6516	2.381	0.000	( 0 )
Contig1818	26303	2.381	0.000	( 0 )
Contig39476	6890	2.381	0.000	( 0 )
Contig45347	7595	2.381	0.000	( 0 )
Contig48803	7217	2.381	0.000	( 0 )
Contig7013	507	2.381	0.000	( 0 )
Contig2620	39372	2.381	0.000	( 0 )
Contig2969	107923	2.381	0.000	( 0 )
Contig135738	9397	2.381	0.000	( 0 )
Contig41025	57317	2.381	0.000	( 0 )
Contig6784	12559	2.381	0.000	( 0 )
Contig177460	8198	2.381	0.000	( 0 )
Contig39657	1286	2.381	0.000	( 0 )
Contig60235	7799	2.381	0.000	( 0 )
Contig41383	35167	2.381	0.000	( 0 )
Contig45347	7596	2.381	0.000	( 0 )
Contig45654	44013	2.381	0.000	( 0 )
Contig48803	129492	2.381	0.000	( 0 )
Contig39478	7942	2.381	0.000	( 0 )
Contig7013	611	2.381	0.000	( 0 )
Contig56066	9682	2.381	0.000	( 0 )
Contig44525	15229	2.381	0.000	( 0 )
Contig102	25382	2.381	0.000	( 0 )
Contig65875	51641	2.381	0.000	( 0 )
Contig47007	78966	2.381	0.000	( 0 )
Contig56970	51601	2.381	0.000	( 0 )
Contig6386	2420	2.381	0.000	( 0 )
Contig39132	72278	2.381	0.000	( 0 )
Contig41579	49008	2.381	0.000	( 0 )
