#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam82_1 informativeMask=2 randSeed=-7137481226237751561
#*** LG = 1 likelihood = -570.4552
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig42435	42275	0.000	0.000	( 0 )
Contig68114	33310	0.000	7.911	( 0 )
Contig38683	43073	0.000	15.822	( 0 )
Contig47052	82171	0.000	15.822	( 0 )
Contig10585	36785	0.000	15.822	( 0 )
Contig44552	16274	0.000	15.822	( 0 )
Contig6148	7546	0.000	18.323	( 0 )
Contig45253	19046	0.000	18.323	( 0 )
Contig5081	5894	0.000	18.323	( 0 )
Contig39405	83651	0.000	18.323	( 0 )
Contig41386	94457	0.000	18.323	( 0 )
Contig42295	10805	0.000	18.323	( 0 )
Contig73388	6185	0.000	18.323	( 0 )
Contig39952	107377	0.000	18.323	( 0 )
Contig45253	19077	0.000	18.323	( 0 )
Contig49747	20158	0.000	18.323	( 0 )
Contig47300	40174	0.000	18.323	( 0 )
Contig54868	2701	0.000	18.323	( 0 )
Contig43955	22553	0.000	18.323	( 0 )
Contig1239	55919	0.000	18.323	( 0 )
Contig47052	61149	0.000	18.323	( 0 )
Contig46643	95264	0.000	18.323	( 0 )
Contig62391	14455	0.000	18.323	( 0 )
Contig73388	5558	0.000	18.323	( 0 )
Contig1437	91443	0.000	18.323	( 0 )
Contig38297	25537	0.000	18.323	( 0 )
Contig39952	107098	0.000	18.323	( 0 )
Contig39952	106613	0.000	18.323	( 0 )
Contig56662	7763	0.000	18.323	( 0 )
Contig8354	16544	0.000	18.323	( 0 )
Contig110558	11987	0.000	18.323	( 0 )
Contig43726	22545	0.000	18.323	( 0 )
Contig43885	40931	0.000	18.323	( 0 )
Contig575	182257	0.000	18.323	( 0 )
Contig1698	104734	0.000	18.323	( 0 )
Contig7214	20879	0.000	18.323	( 0 )
Contig53469	42767	0.000	18.323	( 0 )
Contig39222	192921	0.000	18.323	( 0 )
Contig40643	80341	0.000	18.323	( 0 )
Contig43701	52409	0.000	18.323	( 0 )
Contig5509	35876	0.000	18.323	( 0 )
Contig54432	12648	0.000	18.323	( 0 )
Contig40643	10288	0.000	18.323	( 0 )
Contig82546	7137	0.000	18.323	( 0 )
Contig1698	65512	0.000	18.323	( 0 )
Contig65373	4317	0.000	18.323	( 0 )
Contig39952	107415	0.000	18.323	( 0 )
Contig5899	89024	0.000	18.323	( 0 )
Contig5081	5962	0.000	18.323	( 0 )
Contig45253	19225	0.000	18.323	( 0 )
Contig62391	14448	0.000	18.323	( 0 )
Contig50637	25453	0.000	18.323	( 0 )
Contig57017	12666	0.000	18.323	( 0 )
Contig44845	4984	0.000	18.323	( 0 )
Contig3300	44125	0.000	18.323	( 0 )
Contig63655	74916	0.000	18.323	( 0 )
Contig47106	169342	0.000	18.323	( 0 )
Contig47106	169480	0.000	18.323	( 0 )
Contig73388	6702	0.000	18.323	( 0 )
Contig39952	9763	0.000	18.323	( 0 )
Contig69920	12564	0.000	18.323	( 0 )
Contig145795	14152	0.000	18.323	( 0 )
Contig42285	29250	0.000	18.323	( 0 )
Contig62282	76989	0.000	18.323	( 0 )
Contig73388	4955	0.000	18.323	( 0 )
Contig41974	116095	0.000	18.323	( 0 )
Contig39952	107510	0.000	18.323	( 0 )
Contig39405	83720	0.000	18.323	( 0 )
Contig42295	10802	0.000	18.323	( 0 )
Contig5899	89101	0.000	18.323	( 0 )
Contig73388	6634	0.000	18.323	( 0 )
Contig43885	80200	0.000	18.323	( 0 )
Contig708	102230	0.000	18.323	( 0 )
Contig1201	40013	0.000	18.323	( 0 )
Contig39405	60600	0.000	18.323	( 0 )
Contig39952	106591	0.000	18.323	( 0 )
Contig39952	11640	0.000	18.323	( 0 )
Contig65373	4361	0.000	18.323	( 0 )
Contig43552	12629	0.000	18.323	( 0 )
Contig2570	77512	0.000	18.323	( 0 )
Contig51724	86751	0.000	18.323	( 0 )
Contig44682	69827	0.000	18.323	( 0 )
Contig7138	24755	0.000	18.323	( 0 )
Contig63655	74997	0.000	18.323	( 0 )
Contig50304	46458	0.000	18.323	( 0 )
Contig39952	107893	0.000	18.323	( 0 )
Contig647	63996	0.000	18.323	( 0 )
Contig44361	66903	0.000	18.323	( 0 )
Contig73388	6058	0.000	18.323	( 0 )
Contig44682	69750	0.000	18.323	( 0 )
Contig145795	14124	0.000	18.323	( 0 )
Contig38819	71115	0.000	18.323	( 0 )
Contig39952	12560	0.000	18.323	( 0 )
Contig79081	7161	0.000	18.323	( 0 )
Contig48271	8345	0.000	18.323	( 0 )
Contig42295	10813	0.000	18.323	( 0 )
Contig10585	37007	0.000	18.323	( 0 )
Contig10585	38232	0.000	18.323	( 0 )
Contig7138	24786	0.000	18.323	( 0 )
Contig82976	37155	0.000	18.323	( 0 )
Contig73388	6607	0.000	18.323	( 0 )
Contig65373	4341	0.000	18.323	( 0 )
Contig232445	1343	0.000	18.323	( 0 )
Contig48271	8309	0.000	18.323	( 0 )
Contig56662	7773	0.000	18.323	( 0 )
Contig73388	6032	0.000	18.323	( 0 )
Contig42285	29124	0.000	18.323	( 0 )
Contig1201	40018	0.000	18.323	( 0 )
Contig10585	36825	0.000	18.323	( 0 )
Contig39405	60781	0.000	18.323	( 0 )
Contig5155	50107	0.000	18.323	( 0 )
Contig44845	4901	0.000	18.323	( 0 )
Contig39952	107237	0.000	18.323	( 0 )
Contig46643	95130	0.000	18.323	( 0 )
Contig48088	42667	0.000	18.323	( 0 )
Contig6148	7497	0.000	18.323	( 0 )
Contig62391	14451	0.000	18.323	( 0 )
Contig51724	86907	0.000	18.323	( 0 )
Contig63655	75811	0.000	18.323	( 0 )
Contig153320	11277	0.000	18.323	( 0 )
Contig1882	18492	0.000	18.323	( 0 )
Contig59096	9821	0.000	18.323	( 0 )
Contig80054	54587	0.000	18.323	( 0 )
Contig73388	6642	0.000	18.323	( 0 )
Contig5081	43223	0.000	18.323	( 0 )
Contig73388	5638	0.000	18.323	( 0 )
Contig43701	52448	0.000	18.323	( 0 )
Contig42085	4166	0.000	18.323	( 0 )
Contig41974	22393	0.000	18.323	( 0 )
Contig39952	106861	0.000	18.323	( 0 )
Contig39952	106605	0.000	18.323	( 0 )
Contig44361	66948	0.000	18.323	( 0 )
Contig73388	5052	0.000	18.323	( 0 )
Contig3300	44211	0.000	18.323	( 0 )
Contig575	41104	0.000	18.323	( 0 )
Contig11035	41029	0.000	18.323	( 0 )
Contig51502	147297	0.000	18.323	( 0 )
Contig5081	6750	0.000	18.323	( 0 )
Contig39952	107213	0.000	18.323	( 0 )
Contig64133	7733	0.000	18.323	( 0 )
Contig7138	24684	0.000	18.323	( 0 )
Contig47106	169722	0.000	18.323	( 0 )
Contig73388	6726	0.000	18.323	( 0 )
Contig73388	6707	0.000	18.323	( 0 )
Contig4777	66194	0.000	18.323	( 0 )
Contig51724	86701	0.000	18.323	( 0 )
Contig47106	169346	0.000	18.323	( 0 )
Contig2570	77565	0.000	18.323	( 0 )
Contig39952	106795	0.000	18.323	( 0 )
Contig62282	77012	0.000	18.323	( 0 )
Contig3300	43090	0.000	18.323	( 0 )
Contig5081	5757	0.000	18.323	( 0 )
Contig5081	6025	0.000	18.323	( 0 )
Contig1882	18766	0.000	18.323	( 0 )
Contig41383	19523	0.000	18.323	( 0 )
Contig575	41042	0.000	18.323	( 0 )
Contig146	91118	0.000	18.323	( 0 )
Contig5509	35822	0.000	18.323	( 0 )
Contig44682	69665	0.000	18.323	( 0 )
Contig38683	69713	0.000	18.323	( 0 )
Contig8354	16573	0.000	18.323	( 0 )
Contig50637	25454	0.000	18.323	( 0 )
Contig43726	22575	0.000	18.323	( 0 )
Contig5899	89179	0.000	18.323	( 0 )
Contig5081	5792	0.000	18.323	( 0 )
Contig8136	22708	0.000	18.323	( 0 )
Contig73388	5357	0.000	18.323	( 0 )
Contig38275	18132	0.000	18.323	( 0 )
Contig44682	69610	0.000	18.323	( 0 )
Contig39952	11885	0.000	18.323	( 0 )
Contig39405	83643	0.000	18.323	( 0 )
Contig6548	71635	0.000	18.323	( 0 )
Contig60652	8965	0.000	18.323	( 0 )
Contig8160	24745	0.000	18.323	( 0 )
Contig39952	107018	0.000	18.323	( 0 )
Contig47300	40312	0.000	18.323	( 0 )
Contig40643	10698	0.000	18.323	( 0 )
Contig5899	89016	0.000	18.323	( 0 )
Contig49747	20113	0.000	18.323	( 0 )
Contig8769	26287	0.000	18.323	( 0 )
Contig178746	392	0.000	18.323	( 0 )
Contig11035	40990	0.000	18.323	( 0 )
Contig5081	42978	0.000	18.323	( 0 )
Contig41607	115774	0.000	18.323	( 0 )
Contig63655	75768	0.000	18.323	( 0 )
Contig38683	43113	0.000	18.323	( 0 )
Contig73460	49775	0.000	18.323	( 0 )
Contig47106	169626	0.000	18.323	( 0 )
Contig39952	106655	0.000	18.323	( 0 )
Contig56789	56968	0.000	18.323	( 0 )
Contig39952	11204	0.000	18.323	( 0 )
Contig65373	4379	0.000	18.323	( 0 )
Contig39952	9746	0.000	18.323	( 0 )
Contig73388	7322	0.000	18.323	( 0 )
Contig51724	86681	0.000	18.323	( 0 )
Contig165	69601	0.000	18.323	( 0 )
Contig38975	13420	0.000	18.323	( 0 )
Contig94691	71947	0.000	18.323	( 0 )
Contig64501	48854	0.000	18.323	( 0 )
Contig39952	11658	0.000	18.323	( 0 )
Contig73388	5651	0.000	18.323	( 0 )
Contig14610	36649	0.000	18.323	( 0 )
Contig1439	950	0.000	18.323	( 0 )
Contig552	115425	0.000	18.323	( 0 )
Contig80054	54458	0.000	18.323	( 0 )
Contig73388	5781	0.000	18.323	( 0 )
Contig45396	77449	0.000	18.323	( 0 )
Contig43885	40977	0.000	18.323	( 0 )
Contig42548	6515	0.000	18.323	( 0 )
Contig39952	10363	0.000	18.323	( 0 )
Contig165	185928	0.000	18.323	( 0 )
Contig42285	29260	0.000	18.323	( 0 )
Contig43885	40763	0.000	18.323	( 0 )
Contig2299	1389	0.000	18.323	( 0 )
Contig5081	43287	0.000	18.323	( 0 )
Contig2900	5679	0.000	18.323	( 0 )
Contig38275	18141	0.000	18.323	( 0 )
Contig39952	107936	0.000	18.323	( 0 )
Contig64133	7680	0.000	18.323	( 0 )
Contig10585	38611	0.000	18.323	( 0 )
Contig38683	43158	0.000	18.323	( 0 )
Contig190	14799	0.000	18.323	( 0 )
Contig48335	90157	0.000	18.323	( 0 )
Contig10585	37812	0.000	18.323	( 0 )
Contig46643	95184	0.000	18.323	( 0 )
Contig44682	69743	0.000	18.323	( 0 )
Contig153320	11275	0.000	18.323	( 0 )
Contig7214	20869	0.000	18.323	( 0 )
Contig4777	37154	0.000	18.323	( 0 )
Contig5081	43205	0.000	18.323	( 0 )
Contig43885	41020	0.000	18.323	( 0 )
Contig39952	13020	0.000	18.323	( 0 )
Contig4777	66249	0.000	18.323	( 0 )
Contig51724	86852	0.000	18.323	( 0 )
Contig40305	180860	0.000	18.323	( 0 )
Contig100627	5689	0.000	18.323	( 0 )
Contig49234	8017	0.000	18.323	( 0 )
Contig39952	106885	0.000	18.323	( 0 )
Contig232445	1297	0.000	18.323	( 0 )
Contig5081	5969	0.000	18.323	( 0 )
Contig39952	107850	0.000	18.323	( 0 )
Contig73388	5823	0.000	18.323	( 0 )
Contig64854	4751	0.000	18.323	( 0 )
Contig53469	42727	0.000	18.323	( 0 )
Contig73966	71165	0.000	18.323	( 0 )
Contig75515	10594	0.000	18.323	( 0 )
Contig708	102087	0.000	18.323	( 0 )
Contig95948	4489	0.000	18.323	( 0 )
Contig73388	5402	0.000	18.323	( 0 )
Contig40643	10817	0.000	18.323	( 0 )
Contig708	102107	0.000	18.323	( 0 )
Contig121582	6950	0.000	18.323	( 0 )
Contig5081	6396	0.000	18.323	( 0 )
Contig49637	8776	0.000	18.323	( 0 )
Contig1437	91384	0.000	18.323	( 0 )
Contig7138	24774	0.000	18.323	( 0 )
Contig2900	5556	0.000	18.323	( 0 )
Contig63655	75636	0.000	18.323	( 0 )
Contig111566	6970	0.000	18.323	( 0 )
Contig73388	4723	0.000	18.323	( 0 )
Contig46134	10885	0.000	18.323	( 0 )
Contig1027	25327	0.000	18.323	( 0 )
Contig86430	35045	0.000	18.323	( 0 )
Contig1439	929	0.000	18.323	( 0 )
Contig47106	169611	0.000	18.323	( 0 )
Contig39952	106451	0.000	18.323	( 0 )
Contig39952	13061	0.000	18.323	( 0 )
Contig82546	8761	0.000	18.323	( 0 )
Contig39952	106785	0.000	18.323	( 0 )
Contig65781	1140	0.000	18.323	( 0 )
Contig163991	2059	0.000	18.323	( 0 )
Contig7214	20655	0.000	18.323	( 0 )
Contig64854	4815	0.000	18.323	( 0 )
Contig2900	4235	0.000	18.323	( 0 )
Contig7214	3612	0.000	18.323	( 0 )
Contig47106	169603	0.000	18.323	( 0 )
Contig3300	44154	0.000	18.323	( 0 )
Contig5899	89112	0.000	18.323	( 0 )
Contig73388	6164	0.000	18.323	( 0 )
Contig8354	16569	0.000	18.323	( 0 )
Contig7214	3714	0.000	18.323	( 0 )
Contig43885	41045	0.000	18.323	( 0 )
Contig5509	32936	0.000	18.323	( 0 )
Contig1882	18752	0.000	18.323	( 0 )
Contig43701	10425	0.000	18.323	( 0 )
Contig8160	18751	0.000	18.323	( 0 )
Contig4777	66264	0.000	18.323	( 0 )
Contig51724	86914	0.000	18.323	( 0 )
Contig39952	11530	0.000	18.323	( 0 )
Contig111566	6909	0.000	18.323	( 0 )
Contig110558	11949	0.000	18.323	( 0 )
Contig42285	10004	0.000	18.323	( 0 )
Contig63655	75893	0.000	18.323	( 0 )
Contig145795	14277	0.000	18.323	( 0 )
Contig51815	25646	0.000	18.323	( 0 )
Contig73388	7351	0.000	18.323	( 0 )
Contig1882	18363	0.000	18.323	( 0 )
