#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam81_1 informativeMask=2 randSeed=-7706501545829411801
#*** LG = 1 likelihood = -236.7544
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig39952	107936	0.000	0.000	( 0 )
Contig7214	20645	0.000	10.034	( 0 )
Contig80054	54458	0.000	14.799	( 0 )
Contig48335	90023	0.000	14.799	( 0 )
Contig6485	1301	0.000	14.799	( 0 )
Contig39952	107415	0.000	14.799	( 0 )
Contig48118	5314	0.000	14.799	( 0 )
Contig43701	52451	0.000	14.799	( 0 )
Contig2900	4792	0.000	14.799	( 0 )
Contig39952	106451	0.000	14.799	( 0 )
Contig48335	90225	0.000	14.799	( 0 )
Contig39952	11530	0.000	14.799	( 0 )
Contig48335	90134	0.000	14.799	( 0 )
Contig47106	169483	0.000	14.799	( 0 )
Contig145795	14152	0.000	14.799	( 0 )
Contig47106	169611	0.000	14.799	( 0 )
Contig43701	10425	0.000	14.799	( 0 )
Contig11349	29572	0.000	14.799	( 0 )
Contig38683	43113	0.000	14.799	( 0 )
Contig48118	5172	0.000	14.799	( 0 )
Contig2900	4235	0.000	14.799	( 0 )
Contig44682	69519	0.000	14.799	( 0 )
Contig38683	70039	0.000	14.799	( 0 )
Contig80054	54694	0.000	14.799	( 0 )
Contig1514	45262	0.000	14.799	( 0 )
Contig39952	9400	0.000	14.799	( 0 )
Contig49234	8020	0.000	14.799	( 0 )
Contig727	12136	0.000	14.799	( 0 )
Contig163991	1815	0.000	14.799	( 0 )
Contig39952	106971	0.000	14.799	( 0 )
Contig215797	25316	0.000	14.799	( 0 )
Contig1239	55919	0.000	14.799	( 0 )
Contig39952	11658	0.000	14.799	( 0 )
Contig180066	6732	0.000	14.799	( 0 )
Contig57232	7948	0.000	14.799	( 0 )
Contig49459	2079	0.000	14.799	( 0 )
Contig50304	46436	0.000	14.799	( 0 )
Contig5509	32936	0.000	14.799	( 0 )
Contig39952	10363	0.000	14.799	( 0 )
Contig52793	85101	0.000	14.799	( 0 )
Contig56789	56840	0.000	14.799	( 0 )
Contig52793	85037	0.000	14.799	( 0 )
Contig2900	5492	0.000	14.799	( 0 )
Contig47106	169346	0.000	14.799	( 0 )
Contig73388	7237	0.000	14.799	( 0 )
Contig7214	20879	0.000	14.799	( 0 )
Contig47106	169794	0.000	14.799	( 0 )
Contig39952	107893	0.000	14.799	( 0 )
Contig39952	106998	0.000	14.799	( 0 )
Contig39405	60600	0.000	14.799	( 0 )
Contig39952	13020	0.000	14.799	( 0 )
Contig39952	107365	0.000	14.799	( 0 )
Contig6548	71371	0.000	14.799	( 0 )
Contig38683	69674	0.000	14.799	( 0 )
Contig50304	46447	0.000	14.799	( 0 )
Contig7214	3612	0.000	14.799	( 0 )
Contig2900	5388	0.000	14.799	( 0 )
Contig50304	46530	0.000	14.799	( 0 )
Contig11035	41029	0.000	14.799	( 0 )
Contig84748	87188	0.000	14.799	( 0 )
Contig50304	46712	0.000	14.799	( 0 )
Contig11035	40967	0.000	14.799	( 0 )
Contig39952	107510	0.000	14.799	( 0 )
Contig39952	107237	0.000	14.799	( 0 )
Contig1084	24679	0.000	14.799	( 0 )
Contig40305	110716	0.000	14.799	( 0 )
Contig575	40997	0.000	14.799	( 0 )
Contig39405	83597	0.000	14.799	( 0 )
Contig48335	89989	0.000	14.799	( 0 )
Contig52793	85086	0.000	14.799	( 0 )
Contig47300	40174	0.000	14.799	( 0 )
Contig145795	14277	0.000	14.799	( 0 )
Contig39952	106884	0.000	14.799	( 0 )
Contig39952	9316	0.000	14.799	( 0 )
Contig215797	25308	0.000	14.799	( 0 )
Contig39952	9188	0.000	14.799	( 0 )
Contig40643	9878	0.000	14.799	( 0 )
Contig57232	8089	0.000	14.799	( 0 )
Contig64854	4922	0.000	14.799	( 0 )
Contig40643	80312	0.000	14.799	( 0 )
Contig39952	106861	0.000	14.799	( 0 )
Contig42285	35190	0.000	14.799	( 0 )
Contig40305	180997	0.000	14.799	( 0 )
Contig7214	20812	0.000	14.799	( 0 )
Contig44682	69750	0.000	14.799	( 0 )
Contig575	182257	0.000	14.799	( 0 )
Contig2900	5067	0.000	14.799	( 0 )
Contig43701	52161	0.000	14.799	( 0 )
Contig47106	169737	0.000	14.799	( 0 )
Contig2900	5263	0.000	14.799	( 0 )
Contig57232	8084	0.000	14.799	( 0 )
Contig47106	169284	0.000	14.799	( 0 )
Contig42548	42159	0.000	14.799	( 0 )
Contig39326	22495	0.000	14.799	( 0 )
Contig52793	84906	0.000	14.799	( 0 )
Contig708	102184	0.000	14.799	( 0 )
Contig40643	10698	0.000	14.799	( 0 )
Contig39952	12560	0.000	14.799	( 0 )
Contig39952	106655	0.000	14.799	( 0 )
Contig48335	89990	0.000	14.799	( 0 )
Contig43885	40977	0.000	14.799	( 0 )
Contig49637	8675	0.000	14.799	( 0 )
Contig47106	169429	0.000	14.799	( 0 )
Contig48335	90157	0.000	14.799	( 0 )
Contig39405	83643	0.000	14.799	( 0 )
Contig145795	14124	0.000	14.799	( 0 )
Contig46464	18943	0.000	14.799	( 0 )
