#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam91_2 informativeMask=1 randSeed=879932843951755465
#*** LG = 1 likelihood = -291.6564
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig2969	107789	0.000	0.000	( 0 )
Contig51549	54480	0.000	0.000	( 0 )
Contig2969	107921	0.000	0.000	( 0 )
Contig130	16893	0.000	0.000	( 0 )
Contig2969	107983	0.000	0.000	( 0 )
Contig51549	54396	0.000	0.000	( 0 )
Contig51549	54262	0.000	0.000	( 0 )
Contig2969	107856	0.000	0.000	( 0 )
Contig2969	107745	0.000	0.000	( 0 )
Contig51549	54393	0.000	0.000	( 0 )
Contig71852	2476	4.549	0.000	( 0 )
Contig53689	10799	4.549	0.000	( 0 )
Contig56970	57018	4.549	0.000	( 0 )
Contig39132	72268	4.549	0.000	( 0 )
Contig50464	40388	4.549	0.000	( 0 )
Contig56970	56805	4.549	0.000	( 0 )
Contig135738	9441	4.549	0.000	( 0 )
Contig135738	9479	4.549	0.000	( 0 )
Contig71852	2331	4.549	0.000	( 0 )
Contig39132	72322	4.549	0.000	( 0 )
Contig71852	2530	4.549	0.000	( 0 )
Contig135738	9524	4.549	0.000	( 0 )
Contig56970	56858	4.549	0.000	( 0 )
Contig135738	9480	4.549	0.000	( 0 )
Contig101497	8696	4.549	0.000	( 0 )
Contig71852	2315	4.549	0.000	( 0 )
Contig7214	3303	80.851	0.000	( 0 )
Contig3852	13813	85.400	0.000	( 0 )
Contig67294	1263	85.400	0.000	( 0 )
Contig100169	2493	85.400	0.000	( 0 )
Contig73388	5558	85.400	0.000	( 0 )
Contig2900	4237	85.400	0.000	( 0 )
Contig1882	18766	85.400	0.000	( 0 )
Contig48088	42746	85.400	0.000	( 0 )
Contig82546	8030	85.400	0.000	( 0 )
Contig73388	6164	85.400	0.000	( 0 )
Contig52071	136439	85.400	0.000	( 0 )
Contig3868	83367	85.400	0.000	( 0 )
Contig111566	6099	85.400	0.000	( 0 )
Contig2900	4523	85.400	0.000	( 0 )
Contig5509	35791	85.400	0.000	( 0 )
Contig5899	88983	85.400	0.000	( 0 )
Contig647	64122	85.400	0.000	( 0 )
Contig50304	46436	85.400	0.000	( 0 )
Contig5081	43386	85.400	0.000	( 0 )
Contig3131	37989	85.400	0.000	( 0 )
Contig552	115098	85.400	0.000	( 0 )
Contig7172	8698	85.400	0.000	( 0 )
Contig46987	14660	85.400	0.000	( 0 )
Contig100627	5649	85.400	0.000	( 0 )
Contig4847	95147	85.400	0.000	( 0 )
Contig77521	71100	85.400	0.000	( 0 )
Contig42285	29093	85.400	0.000	( 0 )
Contig40229	32965	85.400	0.000	( 0 )
Contig39222	85104	85.400	0.000	( 0 )
Contig73388	5690	85.400	0.000	( 0 )
