#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam92_2 informativeMask=1 randSeed=6850877581852197595
#*** LG = 1 likelihood = -275.2044
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig786	2930	0.000	0.000	( 0 )
Contig1079	35054	2.501	0.000	( 0 )
Contig47007	79036	2.501	0.000	( 0 )
Contig44525	7680	2.501	0.000	( 0 )
Contig57351	20204	2.501	0.000	( 0 )
Contig1948	10730	2.501	0.000	( 0 )
Contig221	27419	2.501	0.000	( 0 )
Contig45347	7611	2.501	0.000	( 0 )
Contig43301	15271	2.501	0.000	( 0 )
Contig85865	12452	2.501	0.000	( 0 )
Contig58145	19044	2.501	0.000	( 0 )
Contig2620	39471	2.501	0.000	( 0 )
Contig7873	37137	2.501	0.000	( 0 )
Contig135738	9441	2.501	0.000	( 0 )
Contig44378	7165	2.501	0.000	( 0 )
Contig39282	7032	2.501	0.000	( 0 )
Contig55699	19570	2.501	0.000	( 0 )
Contig71852	2530	2.501	0.000	( 0 )
Contig39476	6938	2.501	0.000	( 0 )
Contig9017	21355	2.501	0.000	( 0 )
Contig71409	28724	2.501	0.000	( 0 )
Contig38836	123749	2.501	0.000	( 0 )
Contig602	76355	2.501	0.000	( 0 )
Contig41949	8996	2.501	0.000	( 0 )
Contig922	31507	2.501	0.000	( 0 )
Contig9017	21608	2.501	0.000	( 0 )
Contig58145	38040	2.501	0.000	( 0 )
Contig39476	6881	2.501	0.000	( 0 )
Contig39615	22394	2.501	0.000	( 0 )
Contig45654	43939	2.501	0.000	( 0 )
Contig53689	10799	2.501	0.000	( 0 )
Contig50464	40388	2.501	0.000	( 0 )
Contig51549	54456	2.501	0.000	( 0 )
Contig7013	582	2.501	0.000	( 0 )
Contig49576	73995	2.501	0.000	( 0 )
Contig922	31508	2.501	0.000	( 0 )
Contig58145	38060	2.501	0.000	( 0 )
Contig2969	107923	2.501	0.000	( 0 )
Contig52698	84396	2.501	0.000	( 0 )
Contig2969	107745	2.501	0.000	( 0 )
Contig101497	8696	2.501	0.000	( 0 )
Contig56970	57017	2.501	0.000	( 0 )
Contig7013	740	2.501	0.000	( 0 )
Contig38836	123823	2.501	0.000	( 0 )
Contig49423	7131	2.501	0.000	( 0 )
Contig49576	73842	2.501	0.000	( 0 )
Contig56066	9693	2.501	0.000	( 0 )
Contig87026	29788	2.501	0.000	( 0 )
Contig126660	7671	2.501	0.000	( 0 )
Contig39282	6730	2.501	0.000	( 0 )
Contig58145	18954	2.501	0.000	( 0 )
Contig922	31674	2.501	0.000	( 0 )
Contig44525	15138	2.501	0.000	( 0 )
Contig7013	575	2.501	0.000	( 0 )
Contig49065	65691	2.501	0.000	( 0 )
Contig45654	44076	2.501	0.000	( 0 )
Contig45347	7646	2.501	0.000	( 0 )
Contig1079	35117	2.501	0.000	( 0 )
Contig7013	596	2.501	0.000	( 0 )
Contig4847	102130	2.501	0.000	( 0 )
Contig1818	26179	2.501	0.000	( 0 )
Contig65875	51637	2.501	0.000	( 0 )
Contig56096	33795	2.501	0.000	( 0 )
Contig1948	10794	2.501	0.000	( 0 )
Contig2969	107789	2.501	0.000	( 0 )
Contig41949	8872	2.501	0.000	( 0 )
Contig49065	65567	2.501	0.000	( 0 )
Contig4638	83998	2.501	0.000	( 0 )
Contig4847	102186	2.501	0.000	( 0 )
Contig2969	107983	2.501	0.000	( 0 )
Contig72249	28924	2.501	0.000	( 0 )
Contig135738	9524	2.501	0.000	( 0 )
Contig44378	7300	2.501	0.000	( 0 )
Contig58145	38027	2.501	0.000	( 0 )
Contig50464	40358	2.501	0.000	( 0 )
Contig2620	39186	2.501	0.000	( 0 )
Contig41949	8852	2.501	0.000	( 0 )
Contig39281	42074	2.501	0.000	( 0 )
Contig135738	9479	2.501	0.000	( 0 )
Contig58145	37944	2.501	0.000	( 0 )
Contig49576	74020	2.501	0.000	( 0 )
Contig87026	29954	2.501	0.000	( 0 )
Contig85865	12481	2.501	0.000	( 0 )
Contig39282	6760	2.501	0.000	( 0 )
Contig39476	6917	2.501	0.000	( 0 )
Contig39282	6960	2.501	0.000	( 0 )
Contig41463	36388	2.501	0.000	( 0 )
Contig1186	46139	2.501	0.000	( 0 )
Contig86782	27770	2.501	0.000	( 0 )
Contig135738	9480	2.501	0.000	( 0 )
Contig2620	39254	2.501	0.000	( 0 )
Contig67097	10156	2.501	0.000	( 0 )
Contig43298	13941	2.501	0.000	( 0 )
Contig85865	12451	2.501	0.000	( 0 )
Contig49576	73981	2.501	0.000	( 0 )
Contig56970	56661	2.501	0.000	( 0 )
Contig126660	7739	2.501	0.000	( 0 )
Contig1975	44049	2.501	0.000	( 0 )
Contig47007	79026	2.501	0.000	( 0 )
Contig64023	10145	2.501	0.000	( 0 )
Contig63826	19784	2.501	0.000	( 0 )
Contig109341	2228	2.501	0.000	( 0 )
Contig45347	7710	2.501	0.000	( 0 )
